Carrier Code,Flight No,ArrDep,Dep Airport Code,Dep Airport Name,Arr Airport Code,Arr Airport Name,Local Dep Time,Local Arr Time,Specific Aircraft Code,Seats,Time series
U2,EZY878,D,JER,Jersey,LGW,,1615,1615,77X,164,03/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1705,1705,77X,190,03/07/2025
SI,SI5558,D,JER,Jersey,EMA,,1725,1725,77X,71,03/07/2025
SI,SI4433,D,JER,Jersey,GCI,,1730,1730,789,71,03/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,789,71,03/07/2025
SI,SI4494,D,JER,Jersey,BRS,,1825,1825,789,71,03/07/2025
U2,EZY528,D,JER,Jersey,LPL,,1925,1925,789,190,03/07/2025
BA,BA2525,D,JER,Jersey,LGW,,2025,2025,781,190,03/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,781,190,04/07/2025
SI,SI2258,D,JER,Jersey,BHX,,700,700,781,71,04/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,789,71,04/07/2025
U2,EZY882,D,JER,Jersey,LGW,,705,705,781,164,04/07/2025
SI,SI4470,D,JER,Jersey,BRS,,710,710,789,71,04/07/2025
U2,EZY526,D,JER,Jersey,LPL,,755,755,223,164,04/07/2025
SI,SI4407,D,JER,Jersey,GCI,,820,820,223,71,04/07/2025
U2,EZY874,D,JER,Jersey,LGW,,900,900,359,164,04/07/2025
SI,SI2210,D,JER,Jersey,EXT,,920,920,339,71,04/07/2025
SI,SI3360,D,JER,Jersey,SOU,,1000,1000,339,71,04/07/2025
SI,SI5580,D,JER,Jersey,DUB,,1000,1000,789,71,04/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,789,190,04/07/2025
SI,SI2211,D,JER,Jersey,GCI,,1200,1200,789,71,04/07/2025
BA,BA2521,D,JER,Jersey,LGW,,1210,1210,789,200,04/07/2025
SI,SI2264,D,JER,Jersey,BHX,,1210,1210,789,71,04/07/2025
U2,EZY440,D,JER,Jersey,GLA,,1220,1220,32Q,164,04/07/2025
SI,SI5552,D,JER,Jersey,EMA,,1335,1335,32Q,71,04/07/2025
SI,SI3370,D,JER,Jersey,SOU,,1340,1340,32N,71,04/07/2025
U2,EZY638,D,JER,Jersey,LTN,,1430,1430,32Q,190,04/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1440,1440,32Q,164,04/07/2025
U2,EZY730,D,JER,Jersey,MAN,,1610,1610,32Q,190,04/07/2025
U2,EZY306,D,JER,Jersey,EDI,,1620,1620,77X,190,04/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1650,1650,77X,190,04/07/2025
SI,SI5553,D,JER,Jersey,GCI,,1715,1715,789,71,04/07/2025
SI,SI2242,D,JER,Jersey,EXT,,1720,1720,77X,71,04/07/2025
U2,EZY640,D,JER,Jersey,LTN,,1740,1740,77X,190,04/07/2025
SI,SI4494,D,JER,Jersey,BRS,,1740,1740,77X,71,04/07/2025
SI,SI2270,D,JER,Jersey,BHX,,1800,1800,77X,71,04/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,789,71,04/07/2025
U2,EZY878,D,JER,Jersey,LGW,,1945,1945,789,190,04/07/2025
BA,BA2525,D,JER,Jersey,LGW,,2030,2030,77X,190,04/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,77X,190,05/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,77X,71,05/07/2025
U2,EZY882,D,JER,Jersey,LGW,,705,705,77X,164,05/07/2025
SI,SI2202,D,JER,Jersey,EXT,,720,720,77X,71,05/07/2025
EW,EW9379,D,JER,Jersey,DUS,,815,815,77X,164,05/07/2025
SI,SI5550,D,JER,Jersey,EMA,,830,830,77X,71,05/07/2025
U2,EZY874,D,JER,Jersey,LGW,,850,850,789,164,05/07/2025
SI,SI5590,D,JER,Jersey,NWI,,850,850,77X,71,05/07/2025
T3,T3791,D,JER,Jersey,MME,,930,930,77X,71,05/07/2025
SI,SI3360,D,JER,Jersey,SOU,,1000,1000,77X,71,05/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,77X,190,05/07/2025
U2,EZY086,D,JER,Jersey,BFS,,1205,1205,789,190,05/07/2025
SI,SI6606,D,JER,Jersey,NCL,,1220,1220,789,71,05/07/2025
SI,SI2262,D,JER,Jersey,BHX,,1250,1250,789,71,05/07/2025
SI,SI8504,D,JER,Jersey,PAD,,1255,1255,789,71,05/07/2025
SI,SI5591,D,JER,Jersey,GCI,,1300,1300,781,71,05/07/2025
U2,EZY526,D,JER,Jersey,LPL,,1305,1305,781,190,05/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1315,1315,781,164,05/07/2025
U2,EZY638,D,JER,Jersey,LTN,,1340,1340,789,164,05/07/2025
BA,BA4501,D,JER,Jersey,PMI,,1350,1350,781,109,05/07/2025
U2,EZY6624,D,JER,Jersey,BHX,,1350,1350,789,190,05/07/2025
BA,BA2523,D,JER,Jersey,LGW,,1355,1355,223,190,05/07/2025
T3,T3793,D,JER,Jersey,HUY,,1445,1445,223,71,05/07/2025
BA,BA4529,D,JER,Jersey,IBZ,,1455,1455,359,109,05/07/2025
BA,BA4531,D,JER,Jersey,FAO,,1505,1505,359,109,05/07/2025
LS,LS674,D,JER,Jersey,EMA,,1520,1520,359,191,05/07/2025
LS,LS580,D,JER,Jersey,NCL,,1555,1555,339,191,05/07/2025
U2,EZY878,D,JER,Jersey,LGW,,1600,1600,339,164,05/07/2025
LS,LS212,D,JER,Jersey,LBA,,1605,1605,789,157,05/07/2025
EI,EI3343,D,JER,Jersey,DUB,,1610,1610,789,71,05/07/2025
SI,SI5558,D,JER,Jersey,EMA,,1635,1635,789,71,05/07/2025
SI,SI4494,D,JER,Jersey,BRS,,1640,1640,789,71,05/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1650,1650,789,188,05/07/2025
EN,EN8351,D,JER,Jersey,MUC,,1705,1705,32Q,122,05/07/2025
SI,SI6607,D,JER,Jersey,GCI,,1705,1705,32Q,71,05/07/2025
SI,SI4433,D,JER,Jersey,GCI,,1730,1730,32N,71,05/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,32Q,71,05/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,32Q,190,06/07/2025
U2,EZY882,D,JER,Jersey,LGW,,710,710,32Q,164,06/07/2025
SI,SI2294,D,JER,Jersey,GCI,,740,740,77X,71,06/07/2025
SI,SI3356,D,JER,Jersey,SOU,,840,840,77X,71,06/07/2025
SI,SI4474,D,JER,Jersey,BRS,,925,925,789,71,06/07/2025
U2,EZY874,D,JER,Jersey,LGW,,1005,1005,77X,164,06/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,77X,190,06/07/2025
SI,SI5552,D,JER,Jersey,EMA,,1130,1130,77X,71,06/07/2025
SI,SI2264,D,JER,Jersey,BHX,,1210,1210,77X,71,06/07/2025
U2,EZY440,D,JER,Jersey,GLA,,1230,1230,789,164,06/07/2025
U2,EZY638,D,JER,Jersey,LTN,,1230,1230,789,164,06/07/2025
U2,EZY878,D,JER,Jersey,LGW,,1440,1440,77X,164,06/07/2025
U2,EZY528,D,JER,Jersey,LPL,,1450,1450,77X,164,06/07/2025
SI,SI2230,D,JER,Jersey,EXT,,1520,1520,77X,71,06/07/2025
SI,SI3374,D,JER,Jersey,SOU,,1555,1555,77X,71,06/07/2025
U2,EZY730,D,JER,Jersey,MAN,,1615,1615,77X,188,06/07/2025
U2,EZY890,D,JER,Jersey,LGW,,1640,1640,77X,164,06/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1710,1710,77X,190,06/07/2025
SI,SI5553,D,JER,Jersey,GCI,,1710,1710,789,71,06/07/2025
SI,SI2270,D,JER,Jersey,BHX,,1800,1800,77X,71,06/07/2025
U2,EZY640,D,JER,Jersey,LTN,,1820,1820,77X,190,06/07/2025
SI,SI4496,D,JER,Jersey,BRS,,1845,1845,77X,71,06/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1900,1900,77X,71,06/07/2025
BA,BA2525,D,JER,Jersey,LGW,,2030,2030,789,190,06/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,789,190,07/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,789,71,07/07/2025
U2,EZY882,D,JER,Jersey,LGW,,710,710,789,164,07/07/2025
SI,SI4407,D,JER,Jersey,GCI,,735,735,781,71,07/07/2025
U2,EZY874,D,JER,Jersey,LGW,,850,850,781,164,07/07/2025
SI,SI4472,D,JER,Jersey,BRS,,900,900,781,71,07/07/2025
SI,SI2206,D,JER,Jersey,EXT,,920,920,789,71,07/07/2025
SI,SI5550,D,JER,Jersey,EMA,,950,950,781,71,07/07/2025
SI,SI5580,D,JER,Jersey,DUB,,1000,1000,789,71,07/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1025,1025,223,190,07/07/2025
BA,BA2523,D,JER,Jersey,LGW,,1040,1040,223,190,07/07/2025
SI,SI2207,D,JER,Jersey,GCI,,1200,1200,359,71,07/07/2025
SI,SI5504,D,JER,Jersey,CDG,,1210,1210,339,71,07/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1240,1240,339,164,07/07/2025
U2,EZY526,D,JER,Jersey,LPL,,1310,1310,789,164,07/07/2025
SI,SI5552,D,JER,Jersey,EMA,,1335,1335,789,71,07/07/2025
SI,SI3370,D,JER,Jersey,SOU,,1340,1340,789,71,07/07/2025
SI,SI4484,D,JER,Jersey,BRS,,1350,1350,789,71,07/07/2025
U2,EZY306,D,JER,Jersey,EDI,,1515,1515,789,188,07/07/2025
SI,SI4431,D,JER,Jersey,GCI,,1640,1640,32Q,71,07/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1710,1710,32Q,190,07/07/2025
SI,SI5553,D,JER,Jersey,GCI,,1715,1715,32N,71,07/07/2025
SI,SI2242,D,JER,Jersey,EXT,,1720,1720,32Q,71,07/07/2025
U2,EZY440,D,JER,Jersey,GLA,,1755,1755,32Q,164,07/07/2025
U2,EZY640,D,JER,Jersey,LTN,,1755,1755,32Q,164,07/07/2025
SI,SI2270,D,JER,Jersey,BHX,,1800,1800,77X,71,07/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,77X,71,07/07/2025
U2,EZY878,D,JER,Jersey,LGW,,1855,1855,789,164,07/07/2025
BA,BA2525,D,JER,Jersey,LGW,,1915,1915,77X,190,07/07/2025
U2,EZY728,D,JER,Jersey,MAN,,2035,2035,77X,190,07/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,77X,71,08/07/2025
BA,BA1339,D,JER,Jersey,LHR,,705,705,77X,190,08/07/2025
U2,EZY882,D,JER,Jersey,LGW,,710,710,789,164,08/07/2025
SI,SI4470,D,JER,Jersey,BRS,,710,710,789,71,08/07/2025
SI,SI4407,D,JER,Jersey,GCI,,735,735,77X,71,08/07/2025
SI,SI6604,D,JER,Jersey,GCI,,800,800,77X,71,08/07/2025
U2,EZY6624,D,JER,Jersey,BHX,,835,835,77X,190,08/07/2025
U2,EZY874,D,JER,Jersey,LGW,,845,845,77X,190,08/07/2025
BA,BA2523,D,JER,Jersey,LGW,,915,915,77X,190,08/07/2025
SI,SI2206,D,JER,Jersey,EXT,,920,920,77X,71,08/07/2025
SI,SI5590,D,JER,Jersey,NWI,,920,920,77X,71,08/07/2025
SI,SI5550,D,JER,Jersey,EMA,,1020,1020,789,71,08/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,77X,164,08/07/2025
U2,EZY440,D,JER,Jersey,GLA,,1220,1220,77X,164,08/07/2025
U2,EZY086,D,JER,Jersey,BFS,,1225,1225,77X,188,08/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1300,1300,77X,164,08/07/2025
SI,SI5591,D,JER,Jersey,GCI,,1330,1330,789,71,08/07/2025
SI,SI3370,D,JER,Jersey,SOU,,1340,1340,789,71,08/07/2025
SI,SI6605,D,JER,Jersey,EXT,,1420,1420,789,71,08/07/2025
U2,EZY640,D,JER,Jersey,LTN,,1605,1605,789,164,08/07/2025
LS,LS212,D,JER,Jersey,LBA,,1615,1615,781,157,08/07/2025
SI,SI2235,D,JER,Jersey,GCI,,1650,1650,781,71,08/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1705,1705,781,188,08/07/2025
SI,SI4494,D,JER,Jersey,BRS,,1800,1800,789,71,08/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,781,71,08/07/2025
BA,BA2525,D,JER,Jersey,LGW,,1940,1940,789,190,08/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,223,190,09/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,223,71,09/07/2025
U2,EZY882,D,JER,Jersey,LGW,,710,710,359,164,09/07/2025
SI,SI4407,D,JER,Jersey,GCI,,735,735,359,71,09/07/2025
U2,EZY874,D,JER,Jersey,LGW,,845,845,359,188,09/07/2025
SI,SI2206,D,JER,Jersey,EXT,,920,920,339,71,09/07/2025
5O,5O723,D,JER,Jersey,FNC,,950,950,339,148,09/07/2025
U2,EZY730,D,JER,Jersey,MAN,,950,950,789,190,09/07/2025
SI,SI5550,D,JER,Jersey,EMA,,950,950,789,71,09/07/2025
BA,BA2521,D,JER,Jersey,LGW,,1000,1000,789,190,09/07/2025
SI,SI2262,D,JER,Jersey,BHX,,1000,1000,789,71,09/07/2025
SI,SI5580,D,JER,Jersey,DUB,,1000,1000,789,71,09/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,32Q,190,09/07/2025
SI,SI2207,D,JER,Jersey,GCI,,1200,1200,32Q,71,09/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1325,1325,32N,164,09/07/2025
SI,SI5552,D,JER,Jersey,EMA,,1335,1335,32Q,71,09/07/2025
SI,SI3370,D,JER,Jersey,SOU,,1340,1340,32Q,71,09/07/2025
U2,EZY528,D,JER,Jersey,LPL,,1350,1350,32Q,164,09/07/2025
SI,SI4490,D,JER,Jersey,BRS,,1505,1505,77X,71,09/07/2025
EI,EI3343,D,JER,Jersey,DUB,,1610,1610,77X,71,09/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1705,1705,789,190,09/07/2025
SI,SI5553,D,JER,Jersey,GCI,,1715,1715,77X,71,09/07/2025
SI,SI4433,D,JER,Jersey,GCI,,1730,1730,77X,71,09/07/2025
SI,SI2270,D,JER,Jersey,BHX,,1800,1800,77X,71,09/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,77X,71,09/07/2025
U2,EZY640,D,JER,Jersey,LTN,,1925,1925,789,188,09/07/2025
BA,BA2525,D,JER,Jersey,LGW,,1955,1955,789,190,09/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,77X,164,10/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,77X,71,10/07/2025
U2,EZY882,D,JER,Jersey,LGW,,710,710,77X,164,10/07/2025
SI,SI2294,D,JER,Jersey,GCI,,740,740,77X,71,10/07/2025
U2,EZY440,D,JER,Jersey,GLA,,800,800,77X,190,10/07/2025
SI,SI6606,D,JER,Jersey,NCL,,840,840,77X,71,10/07/2025
SI,SI4472,D,JER,Jersey,BRS,,910,910,77X,71,10/07/2025
SI,SI2206,D,JER,Jersey,EXT,,920,920,789,71,10/07/2025
SI,SI5550,D,JER,Jersey,EMA,,1005,1005,77X,71,10/07/2025
BA,BA2521,D,JER,Jersey,LGW,,1010,1010,77X,190,10/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,77X,190,10/07/2025
U2,EZY874,D,JER,Jersey,LGW,,1115,1115,77X,164,10/07/2025
U2,EZY086,D,JER,Jersey,BFS,,1150,1150,789,190,10/07/2025
SI,SI4419,D,JER,Jersey,GCI,,1210,1210,789,71,10/07/2025
U2,EZY638,D,JER,Jersey,LTN,,1230,1230,789,164,10/07/2025
SI,SI6607,D,JER,Jersey,GCI,,1320,1320,789,71,10/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1340,1340,781,164,10/07/2025
SI,SI3370,D,JER,Jersey,SOU,,1340,1340,781,71,10/07/2025
SI,SI2264,D,JER,Jersey,BHX,,1350,1350,781,71,10/07/2025
SI,SI5504,D,JER,Jersey,CDG,,1425,1425,789,71,10/07/2025
LS,LS212,D,JER,Jersey,LBA,,1500,1500,781,157,10/07/2025
U2,EZY728,D,JER,Jersey,MAN,,1555,1555,789,190,10/07/2025
U2,EZY878,D,JER,Jersey,LGW,,1615,1615,223,164,10/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1705,1705,223,190,10/07/2025
SI,SI5558,D,JER,Jersey,EMA,,1725,1725,359,71,10/07/2025
SI,SI4433,D,JER,Jersey,GCI,,1730,1730,339,71,10/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,339,71,10/07/2025
SI,SI4494,D,JER,Jersey,BRS,,1825,1825,789,71,10/07/2025
U2,EZY528,D,JER,Jersey,LPL,,1925,1925,789,190,10/07/2025
BA,BA2525,D,JER,Jersey,LGW,,2025,2025,789,190,10/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,789,190,11/07/2025
SI,SI2258,D,JER,Jersey,BHX,,700,700,789,71,11/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,32Q,71,11/07/2025
U2,EZY882,D,JER,Jersey,LGW,,705,705,32Q,164,11/07/2025
SI,SI4470,D,JER,Jersey,BRS,,710,710,32N,71,11/07/2025
U2,EZY526,D,JER,Jersey,LPL,,755,755,32Q,164,11/07/2025
SI,SI4407,D,JER,Jersey,GCI,,820,820,32Q,71,11/07/2025
U2,EZY874,D,JER,Jersey,LGW,,900,900,32Q,164,11/07/2025
SI,SI2210,D,JER,Jersey,EXT,,920,920,77X,71,11/07/2025
SI,SI3360,D,JER,Jersey,SOU,,1000,1000,77X,71,11/07/2025
SI,SI5580,D,JER,Jersey,DUB,,1000,1000,789,71,11/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,77X,190,11/07/2025
SI,SI2211,D,JER,Jersey,GCI,,1200,1200,77X,71,11/07/2025
BA,BA2521,D,JER,Jersey,LGW,,1210,1210,77X,200,11/07/2025
U2,EZY440,D,JER,Jersey,GLA,,1220,1220,77X,164,11/07/2025
SI,SI5552,D,JER,Jersey,EMA,,1335,1335,789,71,11/07/2025
SI,SI3370,D,JER,Jersey,SOU,,1340,1340,789,71,11/07/2025
U2,EZY638,D,JER,Jersey,LTN,,1430,1430,77X,190,11/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1440,1440,77X,164,11/07/2025
U2,EZY730,D,JER,Jersey,MAN,,1610,1610,77X,190,11/07/2025
U2,EZY306,D,JER,Jersey,EDI,,1620,1620,77X,190,11/07/2025
BA,BA1347,D,JER,Jersey,LHR,,1650,1650,77X,190,11/07/2025
SI,SI5553,D,JER,Jersey,GCI,,1715,1715,77X,71,11/07/2025
U2,EZY640,D,JER,Jersey,LTN,,1740,1740,77X,190,11/07/2025
SI,SI4494,D,JER,Jersey,BRS,,1740,1740,789,71,11/07/2025
SI,SI2270,D,JER,Jersey,BHX,,1800,1800,77X,71,11/07/2025
SI,SI3390,D,JER,Jersey,SOU,,1815,1815,77X,71,11/07/2025
U2,EZY878,D,JER,Jersey,LGW,,1945,1945,77X,190,11/07/2025
BA,BA2525,D,JER,Jersey,LGW,,2030,2030,77X,190,11/07/2025
BA,BA1339,D,JER,Jersey,LHR,,700,700,789,190,12/07/2025
SI,SI3350,D,JER,Jersey,SOU,,700,700,789,71,12/07/2025
U2,EZY882,D,JER,Jersey,LGW,,705,705,789,164,12/07/2025
SI,SI2202,D,JER,Jersey,EXT,,720,720,789,71,12/07/2025
EW,EW9379,D,JER,Jersey,DUS,,815,815,781,164,12/07/2025
SI,SI5550,D,JER,Jersey,EMA,,830,830,781,71,12/07/2025
U2,EZY874,D,JER,Jersey,LGW,,850,850,781,164,12/07/2025
SI,SI5590,D,JER,Jersey,NWI,,850,850,789,71,12/07/2025
T3,T3791,D,JER,Jersey,MME,,930,930,781,71,12/07/2025
SI,SI3360,D,JER,Jersey,SOU,,1000,1000,789,71,12/07/2025
BA,BA1341,D,JER,Jersey,LHR,,1035,1035,223,190,12/07/2025
U2,EZY086,D,JER,Jersey,BFS,,1205,1205,223,190,12/07/2025
SI,SI6606,D,JER,Jersey,NCL,,1220,1220,359,71,12/07/2025
SI,SI2262,D,JER,Jersey,BHX,,1250,1250,359,71,12/07/2025
SI,SI8508,D,JER,Jersey,LBC,,1255,1255,359,71,12/07/2025
SI,SI5591,D,JER,Jersey,GCI,,1300,1300,339,71,12/07/2025
U2,EZY526,D,JER,Jersey,LPL,,1305,1305,339,190,12/07/2025
U2,EZY876,D,JER,Jersey,LGW,,1315,1315,789,164,12/07/2025
U2,EZY638,D,JER,Jersey,LTN,,1340,1340,789,164,12/07/2025
BA,BA4501,D,JER,Jersey,PMI,,1350,1350,789,109,12/07/2025
U2,EZY6624,D,JER,Jersey,BHX,,1350,1350,789,190,12/07/2025
BA,BA2523,D,JER,Jersey,LGW,,1355,1355,789,190,12/07/2025
T3,T3793,D,JER,Jersey,HUY,,1445,1445,32Q,71,12/07/2025
BA,BA4529,D,JER,Jersey,IBZ,,1455,1455,32Q,109,12/07/2025
BA,BA4531,D,JER,Jersey,FAO,,1505,1505,32N,109,12/07/2025
LS,LS674,D,JER,Jersey,EMA,,1520,1520,32Q,191,12/07/2025
LS,LS580,D,JER,Jersey,NCL,,1555,1555,32Q,191,12/07/2025
U2,EZY878,D,JER,Jersey,LGW,,1600,1600,32Q,164,12/07/2025
LS,LS212,D,JER,Jersey,LBA,,1605,1605,77X,157,12/07/2025
